Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_High,BB_Mid,BB_Low,SMA_20,SMA_50,EMA_20,EMA_50,EMA_12,EMA_26,VWAP,Returns,Volatility,Price_Range,Return_1D,Return_3D,Return_5D,Return_10D,Volume_MA20,Volume_Ratio,Volume_Spike,EMA20_Slope,EMA50_Slope,ATR_14,ATR_Percent,Distance_EMA20,Distance_EMA50,Distance_BB_High,Distance_BB_Low,Signal
2021-08-12,2927.624755859375,2941.818506074252,2905.1331209034925,2905.1331209034925,1310205,74.68879544361553,24.519557026615075,10.576047932945777,13.943509093669299,2941.2403023740826,2833.659948730469,2726.079595086855,2833.659948730469,2841.5149072265626,2857.8063006566063,2831.565523518119,2875.197717335373,2850.678160308758,2833.9506245716875,0.0022576716077402637,0.007942590884910717,0.012530767509509957,0.0022576716077402637,0.008742877778973313,0.020645958943506848,0.048798415268529904,2063432.95,0.6349636900002009,0,35.58949786544463,17.70450967466786,41.891772488134784,0.01430913316479245,0.024430786364606775,0.03392442503746336,-0.004629185348683525,0.07393223629117789,1
2021-08-13,3025.146484375,3039.646030624656,2932.646996500656,2935.4857463855783,4363584,85.19778376786108,34.66501854917169,15.39384205619096,19.27117649298073,2980.9581502712645,2845.0345947265623,2709.11103918186,2845.0345947265623,2847.262109375,2873.7434610107393,2839.1569337478004,2898.2667584183923,2863.6017398692206,2852.128944484388,0.033310870295260475,0.010992072216497931,0.03536986875731611,0.033310870295260475,0.03884340368393269,0.04640733341446057,0.0934347059934888,2169963.75,2.0109017950184653,1,44.97743538272425,22.27150309122453,47.80946851671384,0.01580401767770639,0.05268494749736983,0.06550872493747148,0.014823533869375,0.11665651227370184,1
2021-08-16,3033.488037109375,3052.180240931902,3001.650408468688,3022.176753470583,2083489,88.91566951951648,42.884122028001,20.891898050552967,21.992223977448035,3014.3616317923593,2857.182238769531,2700.002845746703,2857.182238769531,2853.1325634765626,2888.9572301629905,2846.777761330607,2919.070032063159,2876.185910035158,2862.032215662312,0.0027574045678315784,0.010630326335163727,0.01665733698141237,0.0027574045678315784,0.03849943570746861,0.045219147753641886,0.07875687551755761,2211311.9,0.9421958973765755,0,53.19266103079826,26.544671781274246,48.37097960920388,0.015945663545552272,0.05002871120325664,0.06558653025710656,0.006345093141874632,0.12351290365786437,1
2021-08-17,3103.45263671875,3110.2219638050665,3024.79738063406,3041.480581719962,4336019,90.56748911743847,54.416104243466634,27.5967392891357,26.819364954330933,3060.8409265551263,2873.273583984375,2685.7062414136235,2873.273583984375,2859.714658203125,2909.385364120682,2856.8434427183774,2947.4365866255575,2893.020482382091,2884.7777575730142,0.023064076321871463,0.011513388206430698,0.027525660343676112,0.023064076321871463,0.06005820264617978,0.06573394609248662,0.08163111103774545,2348259.95,1.8464816895591136,1,66.35711556060323,33.010348715096825,49.97752481687102,0.01610384647909812,0.06670387326180902,0.08632226404598359,0.013921569655559242,0.15554433648158236,1
2021-08-18,3110.00341796875,3140.0941242989843,3089.084057481392,3121.6204986858806,2631309,91.135645355204,63.35357594511697,34.74810662033196,28.605469324785012,3100.5283602168506,2888.7665893554686,2677.0048184940865,2888.7665893554686,2866.1323095703124,2928.4918454395456,2866.771284885059,2972.446868370664,2909.093292425547,2901.0042359913764,0.0021108043256383713,0.011385276799133766,0.016401932719067164,0.0021108043256383713,0.028050520539101065,0.06469409310296026,0.08753948321236726,2389228.15,1.1013217804251971,0,78.03485585691487,39.12654636046091,51.428094732561284,0.01653634669191159,0.06198124567492548,0.08484532211066968,0.0030559493902635034,0.16174741131704093,1
2021-08-20,3109.0869140625,3122.6255703816373,3057.115943030973,3062.3567132190265,2836148,97.11588654073668,69.56077909269061,41.71064111480369,27.850137977886916,3133.511681539268,2903.753039550781,2673.994397562294,2903.753039550781,2872.5298828125,2945.691375784589,2876.273858578292,2993.468413861716,2923.907634769025,2918.3957920988046,-0.0002946954659132084,0.010624030423065,0.021070375052676102,-0.0002946954659132084,0.024921435663601166,0.06198272433649321,0.08390837606185797,2388068.85,1.187632425254406,0,87.88507512798287,44.70833506017334,52.29220464053515,0.016819151759320663,0.05546933382808653,0.08094258993797082,-0.007794694885187052,0.16271257594886934,1
2021-08-23,3177.128662109375,3208.223975705409,3111.182321198469,3126.9920590866773,3744176,97.28520865571349,79.05908876370086,49.18033064458312,29.878758119117734,3177.3938193878553,2922.2944213867186,2667.195023385582,2922.2944213867186,2879.9998046875,2967.7330221012353,2888.0720861677464,3021.723836669048,2942.664747905347,2940.7711367576508,0.021884800884504063,0.011034024900543355,0.030543822686271635,0.021884800884504063,0.023740019267225465,0.05023960939391503,0.09897842911213117,2486468.0,1.5058211084960675,1,93.98956109049595,48.915152419946025,55.76104208382766,0.017550766120628718,0.07055743843827364,0.10008634387141799,-8.345118469808002e-05,0.19118723387407685,0
2021-08-24,3155.9912109375,3203.289281535624,3139.5700912462094,3194.248869248207,2511141,90.9660178462809,83.91364765732033,56.126994047130566,27.78665361018976,3208.146892871405,2940.447131347656,2672.7473698239073,2940.447131347656,2886.0533984375,2985.662373418975,2898.5787185116583,3042.3803557872716,2958.4667081299513,2955.387831163726,-0.0066530044640500385,0.011221196103397012,0.02018991373251848,-0.0066530044640500385,0.014787055442783581,0.04038360208760161,0.08742886191086718,2549044.5,0.9851303105928516,0,96.7051432559847,51.80095718105122,55.87959221082701,0.017705877005350642,0.05704892791460406,0.08880645220427758,-0.016257261177721086,0.18080415925932833,1
2021-08-25,3195.995849609375,3229.8424850759952,3150.619564194584,3153.1962331483587,2123263,94.20295342430238,89.95204933233026,62.89200510417051,27.060044228159754,3240.852474305103,2961.2377197265623,2681.6229651480216,2961.2377197265623,2892.86263671875,3005.694133056156,2910.242135417451,3066.0135086829796,2976.0614593506493,2968.8051107210035,0.012675776324482024,0.010911221178107434,0.024788180150826514,0.012675776324482024,0.027953202322451354,0.029819437807973026,0.0975135332178374,2599139.3,0.8169100440288061,0,96.30876893547384,53.39869269907376,58.7932073691219,0.018395896032314247,0.06331373324394873,0.09818898252977658,-0.013840995556376275,0.19181402126490243,0
2021-08-26,3207.219482421875,3220.9765001390165,3186.299910279459,3196.8688790309616,1902533,94.24063808014894,94.5532287683659,69.22424983700958,25.328978931356318,3270.3335248876774,2981.94091796875,2693.5483110498226,2981.94091796875,2900.1334130859377,3024.887023471939,2921.888305888213,3087.7375046428097,2993.1842758744438,2983.532790882905,0.0035117795330903423,0.010895854088622411,0.010812041411450977,0.0035117795330903423,0.009471073888623005,0.03125915035701787,0.09797552584349467,2611233.25,0.7285955783536381,0,96.39517803239323,55.11702100315415,57.99462606740177,0.018082524874040787,0.06027744425993687,0.09765300609152663,-0.019298962012741536,0.1907042726001253,1
2021-08-27,3249.408203125,3257.5751546785104,3189.0958480679137,3202.110341078273,3944728,94.52119849124166,100.44609375276377,75.46861862016043,24.977475132603345,3302.129297417949,3004.8409057617187,2707.552514105488,3004.8409057617187,2908.0457568359375,3046.2699929627065,2934.7322234269104,3112.6099197939157,3012.163826041152,3007.4285010598633,0.013154297962566286,0.010979937682730385,0.021074393344837145,0.013154297962566286,0.029599889842452987,0.04513263634664644,0.10991280444039297,2721869.8,1.4492713795494554,0,100.57861717811738,58.4583648486182,59.20498786362519,0.018220237090152892,0.06668424356067258,0.10722476728409651,-0.01596578738881413,0.200127490121287,1
2021-08-30,3232.943359375,3267.052076414065,3220.9769784870477,3244.9097402629527,2033114,90.55287135874515,102.6048911051812,80.89587311716458,21.709017988016612,3319.8762605695165,3028.1557861328124,2736.4353116961083,3028.1557861328124,2914.8722998046874,3064.0484088114963,2946.426777777816,3131.122756652544,3028.517865547363,3028.960640633962,-0.005067028431258835,0.011513544646438108,0.014251749197339708,-0.005067028431258835,0.011560562498897031,0.017567654068050276,0.06868985554031148,2673528.35,0.7604609840774645,0,96.31538671026101,58.354691610069494,60.79909250020062,0.01880611125582925,0.055121502022553164,0.09724205052645965,-0.026185584754174953,0.18144337107356798,1
2021-08-31,3307.318359375,3322.7350832895377,3234.821052565711,3240.0181060067675,3207480,91.8448140578528,109.06001847695916,86.5287021891235,22.53131628783565,3351.401305246079,3052.92060546875,2754.4399056914212,3052.92060546875,2923.54279296875,3087.21697553183,2960.5793888208427,3158.2297724559985,3049.1697539790393,3055.4699398446396,0.0230053520066551,0.012113007875536388,0.026581665618800685,0.0230053520066551,0.031210485438164293,0.047949166624119854,0.09026912877710225,2703468.9,1.1864312550442138,0,101.55460211285481,62.00067030918444,65.07281858081481,0.01967540209619008,0.0712944330079856,0.11711861937006139,-0.01315358617366245,0.20072264148554544,0
2021-09-01,3244.865966796875,3333.74068017422,3237.921990071919,3315.660068603454,2643336,80.79586253266642,107.89264799588636,90.80149135047608,17.09115664541028,3368.7856451298644,3071.7022094726562,2774.618773815448,3071.7022094726562,2931.386083984375,3102.2311651761197,2971.727882074805,3171.55841773921,3063.665769743324,3080.9635153068357,-0.018883090707338734,0.014208029157710945,0.02952932142121329,-0.018883090707338734,-0.0013978657171347386,0.015291045260109826,0.045566453441235666,2645398.95,0.9992201743332513,0,96.5370321199639,61.48574665735396,69.86438221187589,0.021530745160744363,0.04597813445428966,0.09191221254463242,-0.03678467299103336,0.16948173111896672,0
2021-09-02,3351.253662109375,3370.819115881548,3251.0239474479945,3261.505486236113,3403717,83.85936292607539,114.23526336475152,95.48824575333117,18.747017611420347,3400.7521647050075,3096.2814208984373,2791.810677091867,3096.2814208984373,2940.8673193359373,3125.9475934554775,2986.61124599773,3199.2038399500047,3084.9685765852532,3108.3321398743833,0.03278646834757226,0.015594954183795504,0.035746374495015394,0.03278646834757226,0.03659522904764012,0.044909361668860726,0.07757234051472328,2669104.9,1.2752278863224897,0,101.0605699835387,64.72294010951691,76.2406510628697,0.0227498896681195,0.07207608634437795,0.12209236022943788,-0.014555163151657129,0.2003871500342066,0
2021-09-03,3355.8828125,3368.8535878797816,3323.1280061155453,3340.9902512143804,1746812,81.0446354748168,118.27199950126533,100.04499650291801,18.227002998347317,3426.362299232246,3120.65537109375,2814.948442955254,3120.65537109375,2951.134892578125,3147.846185745432,3001.09248389978,3223.308297265389,3105.0362977641234,3127.762424841597,0.0013813190099467576,0.014162987948238264,0.013625500149742273,0.0013813190099467576,0.014683936606023407,0.03276738492646203,0.07937889974102497,2629719.45,0.6642579306321059,0,101.57619278272568,66.36026047286941,71.50524441993795,0.021307431878608826,0.06608856166372795,0.11822039157526618,-0.020569770671373167,0.1921649296627436,0
2021-09-06,3364.57373046875,3386.934430383509,3331.3821931484454,3362.5647263498754,1723693,81.05705948335603,120.78014805585508,104.19202681350544,16.588121242349644,3448.49969669195,3144.3348754882813,2840.170054284613,3144.3348754882813,2959.6205078125,3168.48690429051,3015.3466504318963,3245.041440835136,3124.261292779281,3146.3142697298786,0.0025897560952896637,0.014167404723304956,0.01651092877888109,0.0025897560952896637,0.03689143554673313,0.04071533474659983,0.058998261730743184,2601286.0,0.6626310986181451,0,104.43849547901391,68.91987265408034,71.86398761792722,0.021359017033018082,0.06188658249232931,0.11581656125236314,-0.02433695044361107,0.1846381259435625,0
2021-09-07,3333.04150390625,3380.2521385252685,3326.3596090282194,3375.0550854815306,1585039,73.20975149368368,118.85341847334485,107.12430514547333,11.729113327871517,3458.6572714553067,3165.8744140625,2873.091556669693,3165.8744140625,2967.349970703125,3184.158770920581,3027.805272136773,3258.579912076846,3139.7264936035012,3159.4684194013694,-0.009371834023713554,0.014081641577344029,0.01616917444138881,-0.009371834023713554,-0.005434431421601715,0.007777643920590327,0.0560997420890017,2605013.5,0.6084571154813593,0,96.94179538875096,67.22588331593033,69.61169806978741,0.020885337907795044,0.046757320754651034,0.10081105102048607,-0.03631922959981551,0.1600888583480096,1
2021-09-08,3296.574462890625,3332.255448602548,3280.7212227919185,3327.8881413304607,4147175,67.78520397262895,113.08036588781488,108.31551729394165,4.764848593873225,3457.4913295899833,3185.1014770507813,2912.7116245115794,3185.1014770507813,2975.117939453125,3194.8650272986806,3038.34524040163,3264.4252275866584,3151.3448616988435,3179.8042766548,-0.010941070182560408,0.014719648003819794,0.015632659413808953,-0.010941070182560408,-0.017672950136537247,0.015935479808059094,0.03147019521115557,2710333.4,1.5301346321452556,1,92.63386212256091,66.61735832682461,69.70528480526878,0.021144762719585954,0.03183528403324808,0.08499008573984854,-0.04654150982887383,0.1317888235651938,1
2021-09-09,3311.64111328125,3326.7520365382707,3288.5818200808344,3310.1562717091774,1441148,68.80160082670099,108.47055188885543,108.34652421292441,0.12402767593101771,3452.1807717827783,3204.63203125,2957.083290717222,3204.63203125,2983.11576171875,3205.986559297021,3049.0627256125954,3271.6892100012105,3163.218658112355,3192.5796127186845,0.004570395894353263,0.014660906790511154,0.011526072769285174,0.004570395894353263,-0.015732339793345984,-0.011820217990658355,0.03255830523345504,2685905.45,0.536559468241892,0,80.03896584154336,62.45147961486555,67.75246974146678,0.020458880483681424,0.03295539517401971,0.08611773889167836,-0.04071039953940496,0.11990119577525735,0
2021-09-13,3358.765869140625,3364.9236032265057,3290.33006299334,3290.33006299334,1691473,67.54118010981362,107.38198239254007,108.15361584884755,-0.7716334563074838,3445.667836081969,3226.1890869140625,3006.710337746156,3226.1890869140625,2991.970673828125,3220.5369697583164,3061.2079469274204,3285.085619099582,3177.703636707042,3203.610328066315,0.014230031047260061,0.014099380620264623,0.022208615646154332,0.014230031047260061,0.007717985270878414,0.0008591052792088494,0.03365464083904701,2704968.85,0.6253206945433031,0,72.69078401288425,60.115463027640544,65.99936106934226,0.01964988440418709,0.042921072069755456,0.09720277987382984,-0.025220645481649057,0.11708993945135789,0
2021-09-14,3394.183837890625,3403.4426147631857,3340.99011971492,3362.7829407221366,1991188,72.3854464322999,108.13075328696505,108.14904333647105,-0.018290049506006767,3454.807082489692,3244.6409545898437,3034.474826689995,3244.6409545898437,3001.6080322265625,3237.074766723298,3074.2658250044087,3301.8699604520502,3193.739207165085,3227.6307101678785,0.010544935291682656,0.013840009059157136,0.018399856351645854,0.010544935291682656,0.029609334203969606,0.00880055240095734,0.04987420458451708,2586349.05,0.7698837092387047,0,68.58786243278792,58.919174572512475,65.9088828378316,0.019418182981742034,0.04853427322173322,0.10406322390346888,-0.017547505013038044,0.11854077945770948,0
2021-09-15,3454.147216796875,3476.3767693180266,3376.8021583375607,3390.864973783777,2461369,73.38393792283523,112.26854129891353,108.97294292895955,3.2955983699539786,3471.0060800617252,3265.6739135742187,3060.341747086712,3265.6739135742187,3012.7244287109374,3257.748333396972,3089.1631344864663,3325.2972306589463,3213.028689360033,3245.401497706825,0.017666508878174225,0.014106339628038306,0.028827552715834773,0.017666508878174225,0.04303186808018178,0.03633489494466002,0.04439513874002188,2605243.05,0.9447751909366,0,73.58956247639117,61.35786234969328,67.36257498776409,0.019501940930656467,0.060286695993827924,0.11814982453850971,-0.004857053798232021,0.12868022667241183,0
