Date,Close,High,Low,Open,Volume
2021-06-03,2737.786376953125,2749.3781612728867,2721.575284562109,2749.3781612728867,1281706
2021-06-04,2739.96533203125,2751.382847235814,2723.62359048832,2726.238269135189,1836060
2021-06-07,2774.347900390625,2780.666706179255,2731.1186808720404,2741.0543731367998,2559821
2021-06-08,2789.120849609375,2816.0085433772556,2777.8341974470977,2787.247081931434,2574057
2021-06-09,2789.208251953125,2806.421551844094,2776.962798587997,2790.733481057388,1710925
2021-06-10,2803.632568359375,2809.9077540375833,2782.88941024876,2797.70592135876,1874324
2021-06-11,2853.3115234375,2883.9903751710076,2798.577544476913,2799.0569447568123,3452954
2021-06-14,2855.533935546875,2883.7287565429338,2850.3045787618544,2857.8434830136966,1847360
2021-06-15,2843.6806640625,2874.4031354158683,2833.919240543718,2874.4031354158683,1304985
2021-06-16,2853.791015625,2871.527124287829,2835.1831346541367,2843.1144114443937,1635552
2021-06-17,2891.6162109375,2907.5657905780254,2841.2836553858037,2846.0772321050126,2273413
2021-06-18,2873.793701171875,2926.697329824406,2854.3578782534037,2920.5091711430364,3380431
2021-06-21,2852.701416015625,2863.9444481822334,2834.0499154939534,2845.641699122031,1130569
2021-06-22,2877.19189453125,2899.7217904931717,2863.072674583069,2879.632303446715,1708688
2021-06-23,2842.504150390625,2901.4216594077234,2838.146352764599,2901.4216594077234,1467104
2021-06-24,2940.29296875,2948.485542252552,2857.4075821090723,2862.201158958729,4155204
2021-06-25,2946.568359375,2962.997128052771,2919.724284589916,2941.7311616603324,2722861
2021-06-28,2908.176025390625,2955.893905780267,2904.9076774187315,2955.893905780267,1355238
2021-06-29,2911.75,2933.9311494555513,2899.2430345184002,2912.7522084354405,1497322
2021-06-30,2916.020263671875,2947.6142962678864,2909.701457152673,2916.2381535518475,1693146
2021-07-01,2912.31591796875,2930.1828867906443,2904.3412340712302,2926.696648971738,990310
2021-07-02,2898.327392578125,2910.74711500687,2871.9627186504385,2903.164590185935,1682274
2021-07-05,2894.449462890625,2940.6421221899936,2877.889830311606,2912.752214688488,1972858
2021-07-06,2843.288818359375,2900.550239362281,2837.885191599875,2887.47684585554,2159420
2021-07-07,2854.313720703125,2861.068306777802,2825.2473392645243,2854.3573412344163,2640710
2021-07-08,2839.97607421875,2874.402667722399,2816.792510948647,2874.402667722399,2485811
2021-07-09,2796.093505859375,2860.4582596113323,2789.8619405898457,2832.568355800375,6365067
2021-07-12,2782.9765625,2820.3663777594174,2778.8366551160825,2819.4948183101715,1892226
2021-07-13,2778.1396484375,2801.1923556653715,2767.2015336768995,2801.1923556653715,1809339
2021-07-14,2801.671875,2808.1649512785834,2775.917246996365,2777.660366146755,2044279
2021-07-15,2797.653564453125,2822.896730614884,2789.836126410262,2819.184519112929,2232968
2021-07-16,2790.53515625,2812.4154119318237,2788.089421125836,2806.4321146858747,1256526
2021-07-19,2781.625732421875,2794.9023053084866,2774.1138778064173,2777.607724000128,1597058
2021-07-20,2800.143310546875,2808.1791148200396,2756.775813064705,2781.6259668093744,1811945
2021-07-22,2809.35791015625,2816.8695509188374,2786.342114911224,2786.342114911224,2859334
2021-07-23,2806.301025390625,2831.3693292187577,2800.8853931842596,2821.280805669737,1776193
2021-07-26,2792.93701171875,2816.2583923696466,2787.0848620044726,2795.076949858996,1259611
2021-07-27,2780.18408203125,2803.8112569236587,2761.142579755305,2795.076642416108,1121367
2021-07-28,2793.155517578125,2798.963951857688,2736.0310015940213,2784.5955513391964,1660654
2021-07-29,2791.408447265625,2817.3064967675937,2786.604408769665,2795.2953084901396,1731997
2021-07-30,2766.645751953125,2815.603314622655,2762.191225983625,2811.6727376362114,2999943
2021-08-02,2812.02197265625,2816.826011085384,2766.25267364857,2777.6076735719776,2608669
2021-08-03,2869.23388671875,2873.688626119012,2811.6291376075883,2820.4074692213644,3804735
2021-08-04,2859.66943359375,2886.9651073617065,2848.532798696424,2882.423149896209,2929598
2021-08-05,2868.40380859375,2895.5248304241322,2849.668102340492,2860.586370931835,2534521
2021-08-06,2890.983642578125,2903.3867563486483,2851.8525148851795,2858.447193518562,2292362
2021-08-09,2902.250732421875,2914.7412755930864,2891.1578130695584,2903.2988436623186,1510489
2021-08-10,2912.033203125,2926.0085870941607,2896.0490283082218,2896.0490283082218,2040777
2021-08-11,2921.030029296875,2934.8307642305435,2906.0939649630977,2926.0961488608095,1929707
2021-08-12,2927.624755859375,2941.818506074252,2905.1331209034925,2905.1331209034925,1310205
2021-08-13,3025.146484375,3039.646030624656,2932.646996500656,2935.4857463855783,4363584
2021-08-16,3033.488037109375,3052.180240931902,3001.6504084686876,3022.176753470583,2083489
2021-08-17,3103.45263671875,3110.2219638050665,3024.7973806340597,3041.480581719962,4336019
2021-08-18,3110.00341796875,3140.0941242989843,3089.084057481392,3121.6204986858806,2631309
2021-08-20,3109.0869140625,3122.6255703816373,3057.1159430309735,3062.3567132190265,2836148
2021-08-23,3177.128662109375,3208.2239757054094,3111.182321198469,3126.9920590866773,3744176
2021-08-24,3155.9912109375,3203.289281535624,3139.5700912462094,3194.248869248207,2511141
2021-08-25,3195.995849609375,3229.8424850759952,3150.6195641945837,3153.1962331483587,2123263
2021-08-26,3207.219482421875,3220.9765001390165,3186.299910279459,3196.8688790309616,1902533
2021-08-27,3249.408203125,3257.5751546785104,3189.0958480679137,3202.110341078273,3944728
2021-08-30,3232.943359375,3267.052076414065,3220.9769784870473,3244.9097402629527,2033114
2021-08-31,3307.318359375,3322.7350832895377,3234.821052565711,3240.0181060067675,3207480
2021-09-01,3244.865966796875,3333.74068017422,3237.921990071919,3315.660068603454,2643336
2021-09-02,3351.253662109375,3370.819115881548,3251.0239474479945,3261.505486236113,3403717
2021-09-03,3355.8828125,3368.8535878797816,3323.1280061155453,3340.9902512143804,1746812
2021-09-06,3364.57373046875,3386.934430383509,3331.3821931484454,3362.5647263498754,1723693
2021-09-07,3333.04150390625,3380.2521385252685,3326.3596090282194,3375.0550854815306,1585039
2021-09-08,3296.574462890625,3332.255448602548,3280.7212227919185,3327.8881413304607,4147175
2021-09-09,3311.64111328125,3326.7520365382707,3288.5818200808344,3310.1562717091774,1441148
2021-09-13,3358.765869140625,3364.9236032265057,3290.33006299334,3290.33006299334,1691473
2021-09-14,3394.183837890625,3403.4426147631857,3340.9901197149197,3362.7829407221366,1991188
2021-09-15,3454.147216796875,3476.3767693180266,3376.8021583375607,3390.864973783777,2461369
2021-09-16,3409.382568359375,3477.9055854649487,3399.599841483605,3432.703949488855,2946666
2021-09-17,3343.479736328125,3445.8056672309503,3323.5210554661003,3423.9691294157988,6477148
2021-09-20,3339.679931640625,3381.1693514792364,3326.010344929612,3327.01474032147,2002008
2021-09-21,3374.138427734375,3381.650282754764,3338.064421190229,3369.8148354860814,1568129
2021-09-22,3373.439453125,3403.7487396255815,3364.9669187066097,3373.745249967666,1744067
2021-09-23,3379.64111328125,3388.157363421327,3349.725055096878,3380.296209445871,2003869
